date,inflation,unem,gdp,snp,prez_gop,gov_gop,sen_gop,rep_gop,prez_dem,gov_dem,sen_dem,rep_dem
1948-01-01,-10.2421,-3.4,NA,NA,0,22,53,253,1,24,48,198
1948-02-01,-9.482,-3.8,9.5023,NA,0,22,53,253,1,24,48,198
1948-03-01,-6.8182,-4,NA,NA,0,22,53,253,1,24,48,198
1948-04-01,-8.2727,-3.9,NA,NA,0,22,53,253,1,24,48,198
1948-05-01,-9.385,-3.5,10.7998,NA,0,22,53,253,1,24,48,198
1948-06-01,-9.375,-3.6,NA,NA,0,22,53,253,1,24,48,198
1948-07-01,-9.7616,-3.6,NA,NA,0,22,53,253,1,24,48,198
1948-08-01,-9.0625,-3.9,11.7553,NA,0,22,53,253,1,24,48,198
1948-09-01,-6.655,-3.8,NA,NA,0,22,53,253,1,24,48,198
1948-10-01,-6.1109,-3.7,NA,NA,0,22,53,253,1,24,48,198
1948-11-01,-4.7702,-3.8,7.8371,NA,0,22,53,253,1,24,48,198
1948-12-01,-2.7339,-4,NA,NA,0,22,53,253,1,24,48,198
1949-01-01,-1.3936,-4.3,NA,NA,0,18,45,177,1,29,58,269
1949-02-01,-1.0139,-4.7,3.456,NA,0,18,45,177,1,29,58,269
1949-03-01,-1.7447,-5,NA,NA,0,18,45,177,1,29,58,269
1949-04-01,-0.4198,-5.3,NA,NA,0,18,45,177,1,29,58,269
1949-05-01,0.4165,-6.1,-0.4397,NA,0,18,45,177,1,29,58,269
1949-06-01,0.9524,-6.2,NA,NA,0,18,45,177,1,29,58,269
1949-07-01,2.8689,-6.7,NA,NA,0,18,45,177,1,30,58,269
1949-08-01,2.9881,-6.8,-2.2182,NA,0,18,45,177,1,30,58,269
1949-09-01,2.5041,-6.6,NA,NA,0,18,45,177,1,30,58,269
1949-10-01,2.6327,-7.9,NA,NA,0,18,45,177,1,30,58,269
1949-11-01,1.904,-6.4,-3.4556,NA,0,18,45,177,1,30,58,269
1949-12-01,1.8295,-6.6,NA,NA,0,18,45,177,1,30,58,269
1950-01-01,2.0825,-6.5,NA,NA,0,18,44,177,1,29,57,269
1950-02-01,1.2547,-6.4,2.106,0.9971,0,18,44,177,1,29,57,269
1950-03-01,1.1292,-6.3,NA,0.4065,0,18,44,177,1,29,57,269
1950-04-01,1.1288,-5.8,NA,3.8751,0,18,44,177,1,29,57,269
1950-05-01,0.5855,-5.5,6.993,4.5657,0,18,44,177,1,29,57,269
1950-06-01,0.1672,-5.4,NA,-5.804,0,18,44,177,1,29,57,269
1950-07-01,-1.5612,-5,NA,0.8479,0,18,44,177,1,29,57,269
1950-08-01,-2.1097,-4.5,12.8796,3.2511,0,18,44,177,1,29,57,269
1950-09-01,-2.4842,-4.4,NA,5.5918,0,18,44,177,1,29,57,269
1950-10-01,-3.5065,-4.2,NA,0.4113,0,18,44,177,1,29,57,269
1950-11-01,-3.7975,-4.2,18.1919,-0.1024,0,18,44,177,1,29,57,269
1950-12-01,-5.8026,-4.3,NA,4.7155,0,18,44,177,1,29,57,269
1951-01-01,-7.9541,-3.7,NA,6.0206,0,24,47,207,1,22,51,242
